work_id,mp_name,house,state,constituency,vendor_id,work_category,recommended_date,sanction_date,sanctioned_amount,expenditure_amount,completion_percent,beneficiary_ids,tenure_end,is_anomaly,anomaly_type
W-454324,Adv Dean Kuriakose,Lok Sabha,Kerala,IDUKKI,V-178845,Water,2024-01-27,2024-02-27,18842389.33,18139597.1,44,"B-655621,B-304644,B-373408",,False,
W-132923,Adv Dean Kuriakose,Lok Sabha,Kerala,IDUKKI,V-695394,Health,2023-01-22,2023-02-16,33526403.79,35299645.34,88,"B-773465,B-720300,B-65878",,False,
W-119983,Adv Dean Kuriakose,Lok Sabha,Kerala,IDUKKI,V-908093,Water,2026-08-13,2026-09-16,42825836.56,41571156.06,82,"B-356829,B-108684,B-563185",,False,
W-772758,Adv Dean Kuriakose,Lok Sabha,Kerala,IDUKKI,V-197718,Health,2026-06-18,2026-07-03,5483778.76,3589675.96,43,"B-924615,B-513336",,False,
W-728674,Adv Dean Kuriakose,Lok Sabha,Kerala,IDUKKI,V-793025,Water,2023-12-08,2023-12-17,45586591.55,39825693.73,43,"B-125727,B-504333,B-731430,B-666308,B-625481",,False,
W-235643,ADV GOWAAL KAGADA PADAVI,Lok Sabha,Maharashtra,NANDURBAR(ST),V-446912,Road,2024-11-24,2024-12-19,68289907.29,47341913.9,61,"B-513490,B-562219",,False,
W-974740,ADV GOWAAL KAGADA PADAVI,Lok Sabha,Maharashtra,NANDURBAR(ST),V-79226,Health,2024-04-26,2024-05-28,24235701.13,18932949.21,94,"B-219380,B-735673,B-574082",,False,
W-489583,ADV GOWAAL KAGADA PADAVI,Lok Sabha,Maharashtra,NANDURBAR(ST),V-550717,Road,2025-12-01,2025-12-18,54551619.14,47391456.75,54,"B-352279,B-346558,B-583024,B-116240,B-967566",,True,duplicate_vendor
W-713902,ADV K FRANCIS GEORGE,Lok Sabha,Kerala,KOTTAYAM,V-539837,Water,2026-06-17,2026-07-09,14486230.81,9501317.99,82,"B-516823,B-329756,B-960698,B-16593",,False,
W-328381,ADV K FRANCIS GEORGE,Lok Sabha,Kerala,KOTTAYAM,V-604286,Road,2026-02-26,2026-03-08,30556188.12,27896260.92,85,"B-78487,B-400108,B-889921",,False,
W-421222,ADV K FRANCIS GEORGE,Lok Sabha,Kerala,KOTTAYAM,V-238532,Water,2022-05-03,2022-06-19,10053010.37,8544910.24,57,"B-77291,B-923688,B-134425,B-39055,B-751112",,False,
W-970947,ADV K FRANCIS GEORGE,Lok Sabha,Kerala,KOTTAYAM,V-890377,Other,2022-07-12,2022-08-07,30247703.16,23779190.03,71,"B-396236,B-275839",,False,
W-614571,ADV K FRANCIS GEORGE,Lok Sabha,Kerala,KOTTAYAM,V-290159,Education,2025-09-22,2025-10-24,81958573.43,70905413.88,60,"B-377822,B-575117,B-204614,B-473487,B-510619",,False,
W-554703,ADV K FRANCIS GEORGE,Lok Sabha,Kerala,KOTTAYAM,V-687323,Other,2022-01-27,2022-02-05,20476938.94,14984758.86,62,"B-646300,B-634057,B-9556",,False,
W-643972,AFZAL ANSARI,Lok Sabha,Uttar Pradesh,GHAZIPUR,V-265553,Other,2022-03-12,2022-03-17,9130343.93,8709620.02,71,"B-202975,B-723965",,False,
W-705337,AFZAL ANSARI,Lok Sabha,Uttar Pradesh,GHAZIPUR,V-615808,Road,2026-04-07,2026-04-16,122930159.27,86136230.84,62,"B-940032,B-920528",,False,
W-524393,AFZAL ANSARI,Lok Sabha,Uttar Pradesh,GHAZIPUR,V-412649,Health,2026-08-07,2026-09-09,17626992.17,11779774.88,61,"B-619125,B-868166",,False,
W-161401,AFZAL ANSARI,Lok Sabha,Uttar Pradesh,GHAZIPUR,V-105084,Sanitation,2023-10-03,2023-10-04,69710004.63,58910353.6,66,"B-793938,B-963946,B-154368,B-550005",,False,
W-488375,AGA SYED RUHULLAH MEHDI,Lok Sabha,Jammu And Kashmir,SRINAGAR,V-640385,Education,2021-11-29,2021-12-02,14471938.22,9654916.19,85,"B-367190,B-722998,B-984746",,False,
W-183524,AGA SYED RUHULLAH MEHDI,Lok Sabha,Jammu And Kashmir,SRINAGAR,V-612758,Other,2025-03-28,2025-04-21,11236694.45,10431919.4,41,"B-649964,B-875414,B-643112,B-608257,B-555798",,False,
W-114685,AGA SYED RUHULLAH MEHDI,Lok Sabha,Jammu And Kashmir,SRINAGAR,V-661777,Other,2021-11-06,2021-11-14,14121912.38,12916868.99,94,"B-210963,B-656824,B-118956,B-718192",,False,
W-295665,AGA SYED RUHULLAH MEHDI,Lok Sabha,Jammu And Kashmir,SRINAGAR,V-115278,Sanitation,2026-06-25,2026-07-16,56275207.69,51045484.94,74,"B-525976,B-604326,B-403457,B-584137",,False,
W-248169,AGA SYED RUHULLAH MEHDI,Lok Sabha,Jammu And Kashmir,SRINAGAR,V-394216,Road,2025-04-18,2025-05-16,30576291.24,25063188.63,67,"B-450799,B-855041,B-877398,B-12793,B-355828",,False,
W-499511,AGA SYED RUHULLAH MEHDI,Lok Sabha,Jammu And Kashmir,SRINAGAR,V-342241,Other,2022-07-15,2022-08-13,5998575.42,7362469.97,92,"B-447886,B-11715,B-885415,B-374969",,True,cost_overrun
W-605669,AGA SYED RUHULLAH MEHDI,Lok Sabha,Jammu And Kashmir,SRINAGAR,V-909717,Health,2025-05-09,2025-05-17,13584380.6,9456407.6,51,"B-719269,B-90046,B-656804",,False,
W-829577,Ajay Bhatt,Lok Sabha,Uttarakhand,NAINITAL UDHAM SINGH NAG.,V-803393,Other,2025-04-06,2025-04-30,36855595.99,27949780.2,48,B-DUP-009,,True,duplicate_beneficiary
W-858388,Ajay Bhatt,Lok Sabha,Uttarakhand,NAINITAL UDHAM SINGH NAG.,V-518252,Other,2025-05-28,2025-06-26,7103024.92,6146629.77,47,"B-33479,B-920660,B-943814,B-577459,B-637033",,False,
W-788046,Ajay Bhatt,Lok Sabha,Uttarakhand,NAINITAL UDHAM SINGH NAG.,V-24788,Health,2025-10-05,2025-10-23,22493701.93,19319004.22,39,"B-120360,B-44239,B-174633",,False,
W-710364,Ajay Bhatt,Lok Sabha,Uttarakhand,NAINITAL UDHAM SINGH NAG.,V-697086,Water,2024-06-17,2024-07-12,11773556.82,8439209.19,71,"B-826860,B-913315,B-223747,B-931015",,False,
W-431914,Ajay Bhatt,Lok Sabha,Uttarakhand,NAINITAL UDHAM SINGH NAG.,V-666541,Health,2021-11-11,2021-12-11,68039120.34,47191521.3,93,"B-945171,B-104283,B-601072,B-85050",,False,
W-880660,Ajay Kumar Mandal,Lok Sabha,Bihar,BHAGALPUR,V-127883,Road,2024-08-28,2024-08-29,57356545.35,48944329.33,40,"B-395030,B-221316",,False,
W-504262,Ajay Kumar Mandal,Lok Sabha,Bihar,BHAGALPUR,V-314675,Water,2022-05-02,2022-05-06,4332964.25,3634932.68,69,"B-380193,B-624510,B-236162",,False,
W-917645,Ajay Kumar Mandal,Lok Sabha,Bihar,BHAGALPUR,V-275525,Education,2026-08-27,2026-09-19,6646682.4,5995937.09,66,"B-260594,B-354984,B-846821,B-747183,B-802721",,False,
W-323345,Ajay Kumar Mandal,Lok Sabha,Bihar,BHAGALPUR,V-961029,Sanitation,2025-03-09,2025-03-27,48594920.54,41201972.91,65,"B-707989,B-847541",,False,
W-646739,Ajay Kumar Mandal,Lok Sabha,Bihar,BHAGALPUR,V-775066,Other,2022-11-13,2022-12-12,10421583.37,7176762.7,42,"B-760572,B-358867,B-813884,B-688459",,False,
W-740935,Ajay Kumar Mandal,Lok Sabha,Bihar,BHAGALPUR,V-680656,Road,2023-12-16,2024-01-02,18912304.09,14905557.33,75,"B-811116,B-56794,B-956581,B-372989,B-226200",,False,
W-410333,Ajay Tamta,Lok Sabha,Uttarakhand,ALMORA(SC),V-34951,Other,2021-10-20,2021-11-21,27322650.7,24795291.66,72,"B-991277,B-975175,B-670640",,False,
W-447748,Ajay Tamta,Lok Sabha,Uttarakhand,ALMORA(SC),V-119293,Road,2024-08-22,2024-09-04,18535648.3,18083163.65,35,"B-565666,B-658405,B-687945,B-494454",,False,
W-427045,Ajay Tamta,Lok Sabha,Uttarakhand,ALMORA(SC),V-630407,Other,2026-01-02,2026-02-04,19033771.64,13116132.65,51,"B-324925,B-799871,B-854890,B-469854,B-256771",,True,duplicate_vendor
W-799692,Ajay Tamta,Lok Sabha,Uttarakhand,ALMORA(SC),V-608102,Other,2023-04-22,2023-05-14,13973784.25,9645183.15,64,"B-43942,B-138189,B-614617,B-207033",,False,
W-375658,Ajay Tamta,Lok Sabha,Uttarakhand,ALMORA(SC),V-411790,Road,2022-07-19,2022-08-12,20592284.43,13468587.21,40,"B-379592,B-477686,B-1650",,False,
W-800373,Ajay Tamta,Lok Sabha,Uttarakhand,ALMORA(SC),V-341250,Sanitation,2023-08-13,2023-09-10,6311687.18,4717787.21,94,"B-711529,B-745389,B-890403",,False,
W-969143,Ajay Tamta,Lok Sabha,Uttarakhand,ALMORA(SC),V-469270,Water,2023-01-01,2023-01-16,40495173.5,30356641.47,66,"B-758151,B-199792,B-453340,B-839938,B-297890",,False,
W-706418,AJENDRA SINGH LODHI,Lok Sabha,Uttar Pradesh,HAMIRPUR_UP,V-751994,Sanitation,2024-09-16,2024-10-17,21246545.96,13848325.4,37,"B-850578,B-172075",,False,
W-571963,AJENDRA SINGH LODHI,Lok Sabha,Uttar Pradesh,HAMIRPUR_UP,V-110307,Road,2024-08-28,2024-09-25,28301263.11,25881193.73,71,"B-44867,B-87097,B-224285,B-361361,B-935063",,False,
W-106333,AJENDRA SINGH LODHI,Lok Sabha,Uttar Pradesh,HAMIRPUR_UP,V-334101,Water,2024-11-18,2024-11-28,22595234.85,15113648.46,86,"B-823269,B-114947,B-359825,B-939625",,False,
W-420674,AJENDRA SINGH LODHI,Lok Sabha,Uttar Pradesh,HAMIRPUR_UP,V-642331,Sanitation,2022-12-15,2023-01-17,24122930.7,21826325.7,91,"B-439536,B-279624,B-731149,B-309121,B-396564",,False,
W-116025,AJENDRA SINGH LODHI,Lok Sabha,Uttar Pradesh,HAMIRPUR_UP,V-56859,Sanitation,2021-12-21,2022-01-18,11460496.23,7601173.31,86,"B-572390,B-485725,B-931765",,False,
W-721282,AJENDRA SINGH LODHI,Lok Sabha,Uttar Pradesh,HAMIRPUR_UP,V-20094,Water,2026-02-24,2026-02-27,23570364.06,19245089.75,42,"B-562938,B-726681,B-742123,B-925609",,False,
W-946324,AJENDRA SINGH LODHI,Lok Sabha,Uttar Pradesh,HAMIRPUR_UP,V-799944,Sanitation,2025-10-03,2025-10-22,14968165.09,13933464.68,73,"B-602698,B-913733,B-159703",,False,
W-814057,AKHILESH YADAV,Lok Sabha,Uttar Pradesh,KANNAUJ,V-121232,Health,2025-01-17,2025-01-18,9551854.62,8151380.42,35,"B-592774,B-58345",,False,
W-154387,AKHILESH YADAV,Lok Sabha,Uttar Pradesh,KANNAUJ,V-540312,Water,2022-10-04,2022-11-03,27853866.07,24627297.46,60,"B-223215,B-594408",,False,
W-212427,AKHILESH YADAV,Lok Sabha,Uttar Pradesh,KANNAUJ,V-594254,Education,2022-09-01,2022-09-04,108859279.31,77351698.91,57,"B-395648,B-132624,B-531552,B-551584,B-444239",,False,
W-579227,AKSHAYA YADAV,Lok Sabha,Uttar Pradesh,FIROZABAD,V-DUP-007,Education,2021-10-08,2021-11-01,27046373.02,21812242.09,59,"B-904419,B-660318",,True,duplicate_vendor
W-486985,AKSHAYA YADAV,Lok Sabha,Uttar Pradesh,FIROZABAD,V-294932,Road,2023-12-13,2024-01-16,25259736.47,18736786.66,43,"B-494641,B-509076",,False,
W-719247,AKSHAYA YADAV,Lok Sabha,Uttar Pradesh,FIROZABAD,V-87481,Water,2026-06-13,2026-07-04,47148836.51,40153169.88,61,"B-662483,B-519378,B-204230",,False,
W-726702,AKSHAYA YADAV,Lok Sabha,Uttar Pradesh,FIROZABAD,V-64490,Health,2024-11-23,2024-12-27,5197016.16,4079129.8,60,"B-9699,B-721973,B-941028,B-279921,B-424504",,False,
W-342727,AKSHAYA YADAV,Lok Sabha,Uttar Pradesh,FIROZABAD,V-500795,Water,2025-10-02,2025-11-04,15378458.97,11604946.54,70,"B-629907,B-490194,B-710994,B-348051,B-833396",,False,
W-434976,AKSHAYA YADAV,Lok Sabha,Uttar Pradesh,FIROZABAD,V-475129,Road,2026-03-01,2026-03-11,26234578.86,21157237.71,60,"B-877795,B-93661",,False,
W-592400,ALFRED KANNGAM S ARTHUR,Lok Sabha,Manipur,OUTER MANIPUR(ST),V-732603,Water,2023-04-02,2023-04-17,20986333.8,17976560.24,67,"B-775079,B-363052,B-878224",,False,
W-460690,ALFRED KANNGAM S ARTHUR,Lok Sabha,Manipur,OUTER MANIPUR(ST),V-245751,Other,2022-01-25,2022-02-11,34439827.62,30758653.54,69,B-DUP-001,,True,duplicate_beneficiary
W-235567,ALFRED KANNGAM S ARTHUR,Lok Sabha,Manipur,OUTER MANIPUR(ST),V-728769,Road,2026-01-01,2026-02-02,54423172.24,44420131.43,79,"B-638678,B-176983,B-279688,B-549758",,False,
W-967876,ALFRED KANNGAM S ARTHUR,Lok Sabha,Manipur,OUTER MANIPUR(ST),V-DUP-011,Water,2021-09-11,2021-10-08,36415666.33,27448990.5,66,"B-51070,B-507009,B-984419,B-426039,B-553629",,True,duplicate_vendor
W-306295,Alok Kumar Suman,Lok Sabha,Bihar,GOPALGANJ (SC),V-252481,Education,2024-02-24,2024-03-29,41920543.42,39097649.57,59,"B-339860,B-664878,B-435782",,True,sanction_delay
W-605286,Alok Kumar Suman,Lok Sabha,Bihar,GOPALGANJ (SC),V-404986,Education,2021-12-10,2022-01-03,56327362.96,47781225.32,44,"B-21207,B-395456,B-46892,B-945272",,False,
W-906483,Alok Kumar Suman,Lok Sabha,Bihar,GOPALGANJ (SC),V-839976,Road,2023-02-18,2023-03-07,21846010.18,21109398.32,57,"B-75162,B-602190",,False,
W-287830,Alok Kumar Suman,Lok Sabha,Bihar,GOPALGANJ (SC),V-270935,Other,2026-01-19,2026-02-03,21454540.0,16147057.93,82,"B-317542,B-850354,B-466547,B-365467,B-725062",,False,
W-982185,Alok Kumar Suman,Lok Sabha,Bihar,GOPALGANJ (SC),V-448704,Sanitation,2024-11-12,2024-11-17,4716543.44,3669413.06,78,"B-803622,B-6335,B-140910,B-62052,B-124576",,False,
W-964545,ALOK SHARMA,Lok Sabha,Madhya Pradesh,BHOPAL,V-952203,Other,2023-02-12,2023-02-25,19756826.93,13363839.05,85,"B-14537,B-491377,B-817624,B-674136,B-233372",,False,
W-857476,ALOK SHARMA,Lok Sabha,Madhya Pradesh,BHOPAL,V-182222,Road,2022-09-04,2022-09-19,27041721.8,21765283.94,91,"B-943445,B-540442",,False,
W-216380,ALOK SHARMA,Lok Sabha,Madhya Pradesh,BHOPAL,V-628305,Water,2022-12-30,2023-01-05,12018685.1,11409868.93,92,"B-300986,B-25762",,False,
W-819531,ALOK SHARMA,Lok Sabha,Madhya Pradesh,BHOPAL,V-213039,Health,2025-07-27,2025-08-04,59221986.99,44202081.72,46,"B-273863,B-108754,B-179647",,False,
W-686738,ALOK SHARMA,Lok Sabha,Madhya Pradesh,BHOPAL,V-975061,Other,2026-02-19,2026-03-11,10017077.83,8141737.54,35,"B-695011,B-221210",,False,
W-919518,ALOK SHARMA,Lok Sabha,Madhya Pradesh,BHOPAL,V-668783,Water,2024-06-25,2024-07-03,18208701.35,16904670.03,87,B-DUP-008,,True,duplicate_beneficiary
W-358047,AMAR SHARADRAO KALE,Lok Sabha,Maharashtra,WARDHA,V-403029,Health,2026-06-16,2026-06-26,16911002.7,15737218.77,70,"B-321070,B-815136,B-965588",,False,
W-876837,AMAR SHARADRAO KALE,Lok Sabha,Maharashtra,WARDHA,V-224851,Education,2022-04-24,2022-05-14,23877540.43,19707701.52,65,"B-383007,B-300918,B-644299,B-184628",,False,
W-954340,AMAR SHARADRAO KALE,Lok Sabha,Maharashtra,WARDHA,V-516107,Road,2026-07-21,2026-07-21,33591512.17,32003353.58,59,"B-641063,B-198310,B-977320,B-344963",,False,
W-717577,AMAR SHARADRAO KALE,Lok Sabha,Maharashtra,WARDHA,V-433235,Health,2023-06-11,2023-06-24,27123458.66,20663257.28,45,"B-746507,B-660340,B-840038",,False,
W-138187,AMAR SHARADRAO KALE,Lok Sabha,Maharashtra,WARDHA,V-744423,Water,2022-10-02,2022-10-11,25504546.85,24383926.83,36,"B-815041,B-943289,B-149123,B-674477",,False,
W-611066,AMAR SHARADRAO KALE,Lok Sabha,Maharashtra,WARDHA,V-979521,Education,2024-12-16,2024-12-30,19256939.19,16320207.31,53,"B-679707,B-814102,B-369475,B-319081",,False,
W-607708,AMARSING TISSO,Lok Sabha,Assam,Diphu (ST),V-193004,Other,2026-01-06,2026-02-01,37276681.18,35341954.24,66,"B-170715,B-481269,B-998229,B-993901",,False,
W-876570,AMARSING TISSO,Lok Sabha,Assam,Diphu (ST),V-910105,Water,2023-04-20,2023-05-23,35406819.09,32151576.56,63,"B-158889,B-552983,B-869941,B-698187,B-58986",,False,
W-800810,AMARSING TISSO,Lok Sabha,Assam,Diphu (ST),V-237742,Road,2024-09-11,2024-09-14,73581499.73,65612362.54,84,"B-648735,B-888459,B-459747",,False,
W-523439,AMBICA G LAKSHMINARAYANA VALMIKI,Lok Sabha,Andhra Pradesh,ANANTAPUR,V-647840,Health,2025-11-08,2025-12-08,37657016.9,36629454.93,63,"B-288420,B-745538",,False,
W-860987,AMBICA G LAKSHMINARAYANA VALMIKI,Lok Sabha,Andhra Pradesh,ANANTAPUR,V-144238,Education,2022-03-12,2022-03-14,10823371.71,7338141.68,83,"B-133836,B-712122",,False,
W-714496,AMBICA G LAKSHMINARAYANA VALMIKI,Lok Sabha,Andhra Pradesh,ANANTAPUR,V-DUP-000,Health,2021-10-03,2021-10-21,98645702.45,94221595.61,83,"B-235807,B-637074,B-573890",,True,duplicate_vendor
W-256610,AMBICA G LAKSHMINARAYANA VALMIKI,Lok Sabha,Andhra Pradesh,ANANTAPUR,V-746632,Sanitation,2023-11-10,2023-11-18,22677318.8,17529380.86,37,"B-305890,B-446489,B-309495,B-213747,B-962126",,False,
W-164607,AMBICA G LAKSHMINARAYANA VALMIKI,Lok Sabha,Andhra Pradesh,ANANTAPUR,V-602449,Road,2025-08-02,2025-08-14,10183310.87,8888511.62,41,"B-71900,B-117366,B-576098,B-41403,B-583647",,False,
W-217948,AMBICA G LAKSHMINARAYANA VALMIKI,Lok Sabha,Andhra Pradesh,ANANTAPUR,V-584665,Sanitation,2023-06-13,2023-07-05,20902848.05,19556718.45,82,"B-424901,B-800358,B-753718,B-792392",,False,
W-994533,Amol Ramsing Kolhe,Lok Sabha,Maharashtra,SHIRUR,V-779172,Health,2022-04-27,2022-05-09,35800533.59,33351911.04,90,"B-456644,B-32539,B-56231",,False,
W-678533,Amol Ramsing Kolhe,Lok Sabha,Maharashtra,SHIRUR,V-89702,Sanitation,2023-08-05,2023-08-25,13280262.35,10371755.05,41,"B-941002,B-455098,B-193349",,False,
W-577094,Amol Ramsing Kolhe,Lok Sabha,Maharashtra,SHIRUR,V-961800,Health,2025-12-16,2026-01-16,15398733.14,10962449.21,76,"B-865992,B-373218",,False,
W-399664,Amol Ramsing Kolhe,Lok Sabha,Maharashtra,SHIRUR,V-979506,Sanitation,2022-02-13,2022-02-24,26541111.7,23537213.06,60,"B-52190,B-751052,B-592894,B-298128,B-707434",,False,
W-888343,Amol Ramsing Kolhe,Lok Sabha,Maharashtra,SHIRUR,V-451025,Health,2026-04-12,2026-05-16,30516320.95,22820088.9,82,"B-292014,B-244962,B-566055",,False,
W-452879,Amol Ramsing Kolhe,Lok Sabha,Maharashtra,SHIRUR,V-765794,Health,2024-04-24,2024-04-28,15775049.61,13246431.21,46,"B-446511,B-938880,B-782292,B-86836,B-458197",,False,
W-797468,Amol Ramsing Kolhe,Lok Sabha,Maharashtra,SHIRUR,V-686700,Other,2025-07-11,2025-08-04,8952988.66,7577990.79,38,"B-290166,B-313324,B-107490",,False,
W-320706,AMRARAM,Lok Sabha,Rajasthan,SIKAR,V-504918,Other,2023-03-05,2023-04-05,50761476.35,45591309.84,93,"B-201526,B-667740,B-379908,B-925723",,False,
W-715865,AMRARAM,Lok Sabha,Rajasthan,SIKAR,V-714189,Health,2024-11-07,2024-12-11,46168057.55,43675395.35,52,"B-123252,B-264019,B-402659",,False,
