work_id,mp_name,house,state,constituency,vendor_id,work_category,recommended_date,sanction_date,sanctioned_amount,expenditure_amount,completion_percent,beneficiary_ids,tenure_end,is_anomaly,anomaly_type,expenditure_ratio,days_since_sanction,days_since_recommendation,sanction_gap_days,is_overdue,vendor_work_count,beneficiary_work_count,house_Lok Sabha,house_Rajya Sabha,work_category_Education,work_category_Health,work_category_Other,work_category_Road,work_category_Sanitation,work_category_Water
W-518405,Abu Taher Khan,Lok Sabha,West Bengal,MURSHIDABAD,V-424349,Education,2024-08-15,2024-08-25,17798546.6,14999766.61,73,"B-445345,B-702352",,False,,0.8427523295638082,738,748,10,True,1,2,True,False,True,False,False,False,False,False
W-646488,Abu Taher Khan,Lok Sabha,West Bengal,MURSHIDABAD,V-158648,Health,2021-10-29,2021-11-20,17522019.43,13793621.8,40,"B-83279,B-36218,B-161133,B-595078,B-340239",,False,,0.7872164424371947,1747,1769,22,True,1,5,True,False,False,True,False,False,False,False
W-747428,ADHIKARI SOUMENDU,Lok Sabha,West Bengal,KANTHI,V-267089,Water,2025-07-02,2025-08-03,87051585.89,73275687.75,62,"B-616295,B-65853,B-306006",,False,,0.8417501760690784,395,427,32,True,1,3,True,False,False,False,False,False,False,True
W-243137,ADHIKARI SOUMENDU,Lok Sabha,West Bengal,KANTHI,V-267914,Health,2022-01-24,2022-02-13,46511500.85,30582487.5,44,"B-354847,B-962305,B-207043,B-184405,B-344864",,False,,0.6575252774282384,1662,1682,20,True,1,5,True,False,False,True,False,False,False,False
W-465437,ADHIKARI SOUMENDU,Lok Sabha,West Bengal,KANTHI,V-193479,Education,2023-12-25,2024-01-10,12701913.26,11537181.16,38,"B-665016,B-686246",,False,,0.9083026252692266,966,982,16,True,1,2,True,False,True,False,False,False,False,False
W-874674,ADITYA YADAV,Lok Sabha,Uttar Pradesh,BADAUN,V-666977,Education,2025-09-17,2025-09-17,19287167.74,13429311.57,89,"B-270382,B-38703,B-794038",,False,,0.696282199182035,350,350,0,False,1,3,True,False,True,False,False,False,False,False
W-953640,ADITYA YADAV,Lok Sabha,Uttar Pradesh,BADAUN,V-314483,Health,2025-09-05,2025-09-16,54460286.94,47480614.67,41,"B-853350,B-50563",,False,,0.8718392307097163,351,362,11,False,1,2,True,False,False,True,False,False,False,False
W-308627,ADITYA YADAV,Lok Sabha,Uttar Pradesh,BADAUN,V-236573,Water,2026-05-20,2026-05-28,32275371.49,40473357.35,97,"B-159573,B-354457,B-602137,B-636676,B-359416",,True,cost_overrun,1.2540012858578566,97,105,8,False,1,6,True,False,False,False,False,False,False,True
W-955293,ADITYA YADAV,Lok Sabha,Uttar Pradesh,BADAUN,V-747290,Sanitation,2025-01-22,2025-08-16,40242173.82,38321974.59,49,"B-459706,B-734225,B-718159,B-772542,B-186867",,True,sanction_delay,0.9522839089511195,382,588,206,True,1,5,True,False,False,False,False,False,True,False
W-475431,Adv Adoor Prakash,Lok Sabha,Kerala,ATTINGAL,V-118715,Health,2025-04-04,2025-04-22,8352987.66,6135006.15,95,"B-209430,B-361003,B-703442,B-787255,B-972488",,False,,0.7344684799881531,498,516,18,True,1,5,True,False,False,True,False,False,False,False
W-274134,Adv Adoor Prakash,Lok Sabha,Kerala,ATTINGAL,V-738225,Water,2022-11-16,2022-11-21,68761002.29,45713724.23,53,"B-652184,B-500420,B-558632",,False,,0.6648205044656279,1381,1386,5,True,1,3,True,False,False,False,False,False,False,True
W-580932,Adv Adoor Prakash,Lok Sabha,Kerala,ATTINGAL,V-752462,Other,2022-01-30,2022-03-05,33578723.0,31706826.65,40,"B-436114,B-679703,B-677929,B-142243",,False,,0.9442534979665546,1642,1676,34,True,1,4,True,False,False,False,True,False,False,False
W-426283,Adv Adoor Prakash,Lok Sabha,Kerala,ATTINGAL,V-704214,Other,2025-01-22,2025-02-22,35572287.05,33610026.89,42,"B-902243,B-836845,B-3742,B-288073",,False,,0.9448373910498961,557,588,31,True,1,4,True,False,False,False,True,False,False,False
W-454324,Adv Dean Kuriakose,Lok Sabha,Kerala,IDUKKI,V-178845,Water,2024-01-27,2024-02-27,18842389.33,18139597.1,44,"B-655621,B-304644,B-373408",,False,,0.9627015333516624,918,949,31,True,1,3,True,False,False,False,False,False,False,True
W-132923,Adv Dean Kuriakose,Lok Sabha,Kerala,IDUKKI,V-695394,Health,2023-01-22,2023-02-16,33526403.79,35299645.34,88,"B-773465,B-720300,B-65878",,False,,1.0528908964142738,1294,1319,25,True,1,3,True,False,False,True,False,False,False,False
W-119983,Adv Dean Kuriakose,Lok Sabha,Kerala,IDUKKI,V-908093,Water,2026-08-13,2026-09-16,42825836.56,41571156.06,82,"B-356829,B-108684,B-563185",,False,,0.970702720582185,-14,20,34,False,1,3,True,False,False,False,False,False,False,True
W-772758,Adv Dean Kuriakose,Lok Sabha,Kerala,IDUKKI,V-197718,Health,2026-06-18,2026-07-03,5483778.76,3589675.96,43,"B-924615,B-513336",,False,,0.6545989758346852,61,76,15,False,1,2,True,False,False,True,False,False,False,False
W-728674,Adv Dean Kuriakose,Lok Sabha,Kerala,IDUKKI,V-793025,Water,2023-12-08,2023-12-17,45586591.55,39825693.73,43,"B-125727,B-504333,B-731430,B-666308,B-625481",,False,,0.8736273622545049,990,999,9,True,1,5,True,False,False,False,False,False,False,True
W-235643,ADV GOWAAL KAGADA PADAVI,Lok Sabha,Maharashtra,NANDURBAR(ST),V-446912,Road,2024-11-24,2024-12-19,68289907.29,47341913.9,61,"B-513490,B-562219",,False,,0.6932490580043954,622,647,25,True,1,2,True,False,False,False,False,True,False,False
W-974740,ADV GOWAAL KAGADA PADAVI,Lok Sabha,Maharashtra,NANDURBAR(ST),V-79226,Health,2024-04-26,2024-05-28,24235701.13,18932949.21,94,"B-219380,B-735673,B-574082",,False,,0.781200804071807,827,859,32,True,1,3,True,False,False,True,False,False,False,False
W-489583,ADV GOWAAL KAGADA PADAVI,Lok Sabha,Maharashtra,NANDURBAR(ST),V-550717,Road,2025-12-01,2025-12-18,54551619.14,47391456.75,54,"B-352279,B-346558,B-583024,B-116240,B-967566",,True,duplicate_vendor,0.8687451902825409,258,275,17,False,1,5,True,False,False,False,False,True,False,False
W-713902,ADV K FRANCIS GEORGE,Lok Sabha,Kerala,KOTTAYAM,V-539837,Water,2026-06-17,2026-07-09,14486230.81,9501317.99,82,"B-516823,B-329756,B-960698,B-16593",,False,,0.6558861386801278,55,77,22,False,1,4,True,False,False,False,False,False,False,True
W-328381,ADV K FRANCIS GEORGE,Lok Sabha,Kerala,KOTTAYAM,V-604286,Road,2026-02-26,2026-03-08,30556188.12,27896260.92,85,"B-78487,B-400108,B-889921",,False,,0.9129496392169745,178,188,10,False,1,3,True,False,False,False,False,True,False,False
W-421222,ADV K FRANCIS GEORGE,Lok Sabha,Kerala,KOTTAYAM,V-238532,Water,2022-05-03,2022-06-19,10053010.37,8544910.24,57,"B-77291,B-923688,B-134425,B-39055,B-751112",,False,,0.8499852208945847,1536,1583,47,True,1,5,True,False,False,False,False,False,False,True
W-970947,ADV K FRANCIS GEORGE,Lok Sabha,Kerala,KOTTAYAM,V-890377,Other,2022-07-12,2022-08-07,30247703.16,23779190.03,71,"B-396236,B-275839",,False,,0.7861486177716114,1487,1513,26,True,1,2,True,False,False,False,True,False,False,False
W-614571,ADV K FRANCIS GEORGE,Lok Sabha,Kerala,KOTTAYAM,V-290159,Education,2025-09-22,2025-10-24,81958573.43,70905413.88,60,"B-377822,B-575117,B-204614,B-473487,B-510619",,False,,0.8651372383947068,313,345,32,False,1,5,True,False,True,False,False,False,False,False
W-554703,ADV K FRANCIS GEORGE,Lok Sabha,Kerala,KOTTAYAM,V-687323,Other,2022-01-27,2022-02-05,20476938.94,14984758.86,62,"B-646300,B-634057,B-9556",,False,,0.7317870558635361,1670,1679,9,True,1,3,True,False,False,False,True,False,False,False
W-643972,AFZAL ANSARI,Lok Sabha,Uttar Pradesh,GHAZIPUR,V-265553,Other,2022-03-12,2022-03-17,9130343.93,8709620.02,71,"B-202975,B-723965",,False,,0.9539202561014588,1630,1635,5,True,1,2,True,False,False,False,True,False,False,False
W-705337,AFZAL ANSARI,Lok Sabha,Uttar Pradesh,GHAZIPUR,V-615808,Road,2026-04-07,2026-04-16,122930159.27,86136230.84,62,"B-940032,B-920528",,False,,0.7006924204076971,139,148,9,False,1,2,True,False,False,False,False,True,False,False
W-524393,AFZAL ANSARI,Lok Sabha,Uttar Pradesh,GHAZIPUR,V-412649,Health,2026-08-07,2026-09-09,17626992.17,11779774.88,61,"B-619125,B-868166",,False,,0.6682804852008963,-7,26,33,False,1,3,True,False,False,True,False,False,False,False
W-161401,AFZAL ANSARI,Lok Sabha,Uttar Pradesh,GHAZIPUR,V-105084,Sanitation,2023-10-03,2023-10-04,69710004.63,58910353.6,66,"B-793938,B-963946,B-154368,B-550005",,False,,0.8450774592926605,1064,1065,1,True,1,4,True,False,False,False,False,False,True,False
W-488375,AGA SYED RUHULLAH MEHDI,Lok Sabha,Jammu And Kashmir,SRINAGAR,V-640385,Education,2021-11-29,2021-12-02,14471938.22,9654916.19,85,"B-367190,B-722998,B-984746",,False,,0.6671474161392599,1735,1738,3,True,1,3,True,False,True,False,False,False,False,False
W-183524,AGA SYED RUHULLAH MEHDI,Lok Sabha,Jammu And Kashmir,SRINAGAR,V-612758,Other,2025-03-28,2025-04-21,11236694.45,10431919.4,41,"B-649964,B-875414,B-643112,B-608257,B-555798",,False,,0.928379733596832,499,523,24,True,1,5,True,False,False,False,True,False,False,False
W-114685,AGA SYED RUHULLAH MEHDI,Lok Sabha,Jammu And Kashmir,SRINAGAR,V-661777,Other,2021-11-06,2021-11-14,14121912.38,12916868.99,94,"B-210963,B-656824,B-118956,B-718192",,False,,0.9146685408056611,1753,1761,8,True,1,4,True,False,False,False,True,False,False,False
W-295665,AGA SYED RUHULLAH MEHDI,Lok Sabha,Jammu And Kashmir,SRINAGAR,V-115278,Sanitation,2026-06-25,2026-07-16,56275207.69,51045484.94,74,"B-525976,B-604326,B-403457,B-584137",,False,,0.9070687969947855,48,69,21,False,1,4,True,False,False,False,False,False,True,False
W-248169,AGA SYED RUHULLAH MEHDI,Lok Sabha,Jammu And Kashmir,SRINAGAR,V-394216,Road,2025-04-18,2025-05-16,30576291.24,25063188.63,67,"B-450799,B-855041,B-877398,B-12793,B-355828",,False,,0.8196935473067531,474,502,28,True,1,5,True,False,False,False,False,True,False,False
W-499511,AGA SYED RUHULLAH MEHDI,Lok Sabha,Jammu And Kashmir,SRINAGAR,V-342241,Other,2022-07-15,2022-08-13,5998575.42,7362469.97,92,"B-447886,B-11715,B-885415,B-374969",,True,cost_overrun,1.22736974273135,1481,1510,29,True,1,5,True,False,False,False,True,False,False,False
W-605669,AGA SYED RUHULLAH MEHDI,Lok Sabha,Jammu And Kashmir,SRINAGAR,V-909717,Health,2025-05-09,2025-05-17,13584380.6,9456407.6,51,"B-719269,B-90046,B-656804",,False,,0.6961235759251327,473,481,8,True,1,3,True,False,False,True,False,False,False,False
W-829577,Ajay Bhatt,Lok Sabha,Uttarakhand,NAINITAL UDHAM SINGH NAG.,V-803393,Other,2025-04-06,2025-04-30,36855595.99,27949780.2,48,B-DUP-009,,True,duplicate_beneficiary,0.7583591975444811,490,514,24,True,1,6,True,False,False,False,True,False,False,False
W-858388,Ajay Bhatt,Lok Sabha,Uttarakhand,NAINITAL UDHAM SINGH NAG.,V-518252,Other,2025-05-28,2025-06-26,7103024.92,6146629.77,47,"B-33479,B-920660,B-943814,B-577459,B-637033",,False,,0.8653538230864041,433,462,29,True,1,5,True,False,False,False,True,False,False,False
W-788046,Ajay Bhatt,Lok Sabha,Uttarakhand,NAINITAL UDHAM SINGH NAG.,V-24788,Health,2025-10-05,2025-10-23,22493701.93,19319004.22,39,"B-120360,B-44239,B-174633",,False,,0.8588628176953885,314,332,18,False,1,3,True,False,False,True,False,False,False,False
W-710364,Ajay Bhatt,Lok Sabha,Uttarakhand,NAINITAL UDHAM SINGH NAG.,V-697086,Water,2024-06-17,2024-07-12,11773556.82,8439209.19,71,"B-826860,B-913315,B-223747,B-931015",,False,,0.7167935160990712,782,807,25,True,1,4,True,False,False,False,False,False,False,True
W-431914,Ajay Bhatt,Lok Sabha,Uttarakhand,NAINITAL UDHAM SINGH NAG.,V-666541,Health,2021-11-11,2021-12-11,68039120.34,47191521.3,93,"B-945171,B-104283,B-601072,B-85050",,False,,0.6935939363145505,1726,1756,30,True,1,4,True,False,False,True,False,False,False,False
W-880660,Ajay Kumar Mandal,Lok Sabha,Bihar,BHAGALPUR,V-127883,Road,2024-08-28,2024-08-29,57356545.35,48944329.33,40,"B-395030,B-221316",,False,,0.8533346810086426,734,735,1,True,1,2,True,False,False,False,False,True,False,False
W-504262,Ajay Kumar Mandal,Lok Sabha,Bihar,BHAGALPUR,V-314675,Water,2022-05-02,2022-05-06,4332964.25,3634932.68,69,"B-380193,B-624510,B-236162",,False,,0.8389020703321058,1580,1584,4,True,1,3,True,False,False,False,False,False,False,True
W-917645,Ajay Kumar Mandal,Lok Sabha,Bihar,BHAGALPUR,V-275525,Education,2026-08-27,2026-09-19,6646682.4,5995937.09,66,"B-260594,B-354984,B-846821,B-747183,B-802721",,False,,0.9020947187126016,-17,6,23,False,1,5,True,False,True,False,False,False,False,False
W-323345,Ajay Kumar Mandal,Lok Sabha,Bihar,BHAGALPUR,V-961029,Sanitation,2025-03-09,2025-03-27,48594920.54,41201972.91,65,"B-707989,B-847541",,False,,0.8478658356089988,524,542,18,True,1,2,True,False,False,False,False,False,True,False
W-646739,Ajay Kumar Mandal,Lok Sabha,Bihar,BHAGALPUR,V-775066,Other,2022-11-13,2022-12-12,10421583.37,7176762.7,42,"B-760572,B-358867,B-813884,B-688459",,False,,0.6886441767245586,1360,1389,29,True,1,4,True,False,False,False,True,False,False,False
W-740935,Ajay Kumar Mandal,Lok Sabha,Bihar,BHAGALPUR,V-680656,Road,2023-12-16,2024-01-02,18912304.09,14905557.33,75,"B-811116,B-56794,B-956581,B-372989,B-226200",,False,,0.7881407394396438,974,991,17,True,1,5,True,False,False,False,False,True,False,False
W-410333,Ajay Tamta,Lok Sabha,Uttarakhand,ALMORA(SC),V-34951,Other,2021-10-20,2021-11-21,27322650.7,24795291.66,72,"B-991277,B-975175,B-670640",,False,,0.9074994930854202,1746,1778,32,True,1,3,True,False,False,False,True,False,False,False
W-447748,Ajay Tamta,Lok Sabha,Uttarakhand,ALMORA(SC),V-119293,Road,2024-08-22,2024-09-04,18535648.3,18083163.65,35,"B-565666,B-658405,B-687945,B-494454",,False,,0.9755884098210904,728,741,13,True,1,4,True,False,False,False,False,True,False,False
W-427045,Ajay Tamta,Lok Sabha,Uttarakhand,ALMORA(SC),V-630407,Other,2026-01-02,2026-02-04,19033771.64,13116132.65,51,"B-324925,B-799871,B-854890,B-469854,B-256771",,True,duplicate_vendor,0.6890979306716112,210,243,33,False,1,6,True,False,False,False,True,False,False,False
W-799692,Ajay Tamta,Lok Sabha,Uttarakhand,ALMORA(SC),V-608102,Other,2023-04-22,2023-05-14,13973784.25,9645183.15,64,"B-43942,B-138189,B-614617,B-207033",,False,,0.6902341540016264,1207,1229,22,True,1,4,True,False,False,False,True,False,False,False
W-375658,Ajay Tamta,Lok Sabha,Uttarakhand,ALMORA(SC),V-411790,Road,2022-07-19,2022-08-12,20592284.43,13468587.21,40,"B-379592,B-477686,B-1650",,False,,0.6540598861570796,1482,1506,24,True,1,3,True,False,False,False,False,True,False,False
W-800373,Ajay Tamta,Lok Sabha,Uttarakhand,ALMORA(SC),V-341250,Sanitation,2023-08-13,2023-09-10,6311687.18,4717787.21,94,"B-711529,B-745389,B-890403",,False,,0.7474684779925992,1088,1116,28,True,1,3,True,False,False,False,False,False,True,False
W-969143,Ajay Tamta,Lok Sabha,Uttarakhand,ALMORA(SC),V-469270,Water,2023-01-01,2023-01-16,40495173.5,30356641.47,66,"B-758151,B-199792,B-453340,B-839938,B-297890",,False,,0.7496360392183528,1325,1340,15,True,1,5,True,False,False,False,False,False,False,True
W-706418,AJENDRA SINGH LODHI,Lok Sabha,Uttar Pradesh,HAMIRPUR_UP,V-751994,Sanitation,2024-09-16,2024-10-17,21246545.96,13848325.4,37,"B-850578,B-172075",,False,,0.6517918454167408,685,716,31,True,1,2,True,False,False,False,False,False,True,False
W-571963,AJENDRA SINGH LODHI,Lok Sabha,Uttar Pradesh,HAMIRPUR_UP,V-110307,Road,2024-08-28,2024-09-25,28301263.11,25881193.73,71,"B-44867,B-87097,B-224285,B-361361,B-935063",,False,,0.9144889975195175,707,735,28,True,1,5,True,False,False,False,False,True,False,False
W-106333,AJENDRA SINGH LODHI,Lok Sabha,Uttar Pradesh,HAMIRPUR_UP,V-334101,Water,2024-11-18,2024-11-28,22595234.85,15113648.46,86,"B-823269,B-114947,B-359825,B-939625",,False,,0.6688865400308065,643,653,10,True,1,4,True,False,False,False,False,False,False,True
W-420674,AJENDRA SINGH LODHI,Lok Sabha,Uttar Pradesh,HAMIRPUR_UP,V-642331,Sanitation,2022-12-15,2023-01-17,24122930.7,21826325.7,91,"B-439536,B-279624,B-731149,B-309121,B-396564",,False,,0.9047957717674826,1324,1357,33,True,1,5,True,False,False,False,False,False,True,False
W-116025,AJENDRA SINGH LODHI,Lok Sabha,Uttar Pradesh,HAMIRPUR_UP,V-56859,Sanitation,2021-12-21,2022-01-18,11460496.23,7601173.31,86,"B-572390,B-485725,B-931765",,False,,0.6632499289256343,1688,1716,28,True,1,4,True,False,False,False,False,False,True,False
W-721282,AJENDRA SINGH LODHI,Lok Sabha,Uttar Pradesh,HAMIRPUR_UP,V-20094,Water,2026-02-24,2026-02-27,23570364.06,19245089.75,42,"B-562938,B-726681,B-742123,B-925609",,False,,0.8164952268454695,187,190,3,False,1,4,True,False,False,False,False,False,False,True
W-946324,AJENDRA SINGH LODHI,Lok Sabha,Uttar Pradesh,HAMIRPUR_UP,V-799944,Sanitation,2025-10-03,2025-10-22,14968165.09,13933464.68,73,"B-602698,B-913733,B-159703",,False,,0.9308732631034871,315,334,19,False,1,3,True,False,False,False,False,False,True,False
W-814057,AKHILESH YADAV,Lok Sabha,Uttar Pradesh,KANNAUJ,V-121232,Health,2025-01-17,2025-01-18,9551854.62,8151380.42,35,"B-592774,B-58345",,False,,0.8533819602878336,592,593,1,True,1,2,True,False,False,True,False,False,False,False
W-154387,AKHILESH YADAV,Lok Sabha,Uttar Pradesh,KANNAUJ,V-540312,Water,2022-10-04,2022-11-03,27853866.07,24627297.46,60,"B-223215,B-594408",,False,,0.8841608341947484,1399,1429,30,True,1,2,True,False,False,False,False,False,False,True
W-212427,AKHILESH YADAV,Lok Sabha,Uttar Pradesh,KANNAUJ,V-594254,Education,2022-09-01,2022-09-04,108859279.31,77351698.91,57,"B-395648,B-132624,B-531552,B-551584,B-444239",,False,,0.7105659655317443,1459,1462,3,True,1,5,True,False,True,False,False,False,False,False
W-579227,AKSHAYA YADAV,Lok Sabha,Uttar Pradesh,FIROZABAD,V-DUP-007,Education,2021-10-08,2021-11-01,27046373.02,21812242.09,59,"B-904419,B-660318",,True,duplicate_vendor,0.8064756806345341,1766,1790,24,True,6,2,True,False,True,False,False,False,False,False
W-486985,AKSHAYA YADAV,Lok Sabha,Uttar Pradesh,FIROZABAD,V-294932,Road,2023-12-13,2024-01-16,25259736.47,18736786.66,43,"B-494641,B-509076",,False,,0.741764930218213,960,994,34,True,1,2,True,False,False,False,False,True,False,False
W-719247,AKSHAYA YADAV,Lok Sabha,Uttar Pradesh,FIROZABAD,V-87481,Water,2026-06-13,2026-07-04,47148836.51,40153169.88,61,"B-662483,B-519378,B-204230",,False,,0.8516258905240164,60,81,21,False,1,3,True,False,False,False,False,False,False,True
W-726702,AKSHAYA YADAV,Lok Sabha,Uttar Pradesh,FIROZABAD,V-64490,Health,2024-11-23,2024-12-27,5197016.16,4079129.8,60,"B-9699,B-721973,B-941028,B-279921,B-424504",,False,,0.7848984252533091,614,648,34,True,1,5,True,False,False,True,False,False,False,False
W-342727,AKSHAYA YADAV,Lok Sabha,Uttar Pradesh,FIROZABAD,V-500795,Water,2025-10-02,2025-11-04,15378458.97,11604946.54,70,"B-629907,B-490194,B-710994,B-348051,B-833396",,False,,0.7546235004845872,302,335,33,False,1,5,True,False,False,False,False,False,False,True
W-434976,AKSHAYA YADAV,Lok Sabha,Uttar Pradesh,FIROZABAD,V-475129,Road,2026-03-01,2026-03-11,26234578.86,21157237.71,60,"B-877795,B-93661",,False,,0.8064637828914628,175,185,10,False,1,2,True,False,False,False,False,True,False,False
W-592400,ALFRED KANNGAM S ARTHUR,Lok Sabha,Manipur,OUTER MANIPUR(ST),V-732603,Water,2023-04-02,2023-04-17,20986333.8,17976560.24,67,"B-775079,B-363052,B-878224",,False,,0.8565841185657687,1234,1249,15,True,1,3,True,False,False,False,False,False,False,True
